,,validdate,t_2m:C,relative_humidity_2m:p,uv:idx,precip_1h:mm
Rio Branco,115,2020-04-25T00:00:00Z,-0.9,88.8,0,0.01
Rio Branco,116,2020-04-26T00:00:00Z,-3.2,86.3,0,0.01
Rio Branco,117,2020-04-27T00:00:00Z,-2.6,67.1,0,0.02
Rio Branco,118,2020-04-28T00:00:00Z,-1.2,89.2,0,0.05
Rio Branco,119,2020-04-29T00:00:00Z,-1.0,85.9,0,0.01
Rio Branco,120,2020-04-30T00:00:00Z,-6.4,65.2,0,0.04
Rio Branco,121,2020-05-01T00:00:00Z,-7.6,55.6,0,0.01
Rio Branco,122,2020-05-02T00:00:00Z,-6.2,52.8,0,0.03
Rio Branco,123,2020-05-03T00:00:00Z,-3.7,69.5,0,0.0
Rio Branco,124,2020-05-04T00:00:00Z,-4.2,71.7,0,0.01
Rio Branco,125,2020-05-05T00:00:00Z,-6.3,67.9,0,0.0
Rio Branco,126,2020-05-06T00:00:00Z,-7.2,56.5,0,0.04
Rio Branco,127,2020-05-07T00:00:00Z,-6.0,77.8,0,0.07
Rio Branco,128,2020-05-08T00:00:00Z,-8.5,76.1,0,0.05
Rio Branco,129,2020-05-09T00:00:00Z,-5.7,86.9,0,0.14
Rio Branco,130,2020-05-10T00:00:00Z,-8.0,81.0,0,0.0
Rio Branco,131,2020-05-11T00:00:00Z,-12.1,74.7,0,0.02
Rio Branco,132,2020-05-12T00:00:00Z,-9.1,74.2,0,0.04
Rio Branco,133,2020-05-13T00:00:00Z,-8.8,79.3,0,0.02
Rio Branco,134,2020-05-14T00:00:00Z,-12.2,74.6,0,0.0
Rio Branco,135,2020-05-15T00:00:00Z,-11.8,86.2,0,0.0
Rio Branco,136,2020-05-16T00:00:00Z,-13.1,78.9,0,0.04
Rio Branco,137,2020-05-17T00:00:00Z,-16.9,80.0,0,0.01
Rio Branco,138,2020-05-18T00:00:00Z,-15.2,79.3,0,0.02
